"Vehicle Name","Vehicle URL","Vehicle Image","Vehicle Type","Total Stops","Starting Point","Ending Point","Station List"
"S-2 Bus","https://mnzil.app/./vehicles/S-2-Bus","https://mnzil.app/_next/image?url=%2Fbus-black.png&w=384&q=75","Bus","22","Korangi Coast Guard","Godhra","Korangi Coast Guard
Korangi 2 ½
Korangi 2
Korangi 1
Nasir Jump
Korangi Crossing Road
Qayyumabad
Defence phase 2
Baloch Colony Stop
Naheed Supermarket - Main Shaheed-e-Millat Rd
Tariq Road
Jail Chowrangi
New Town
Old Sabzi Mandi
Hassan Square
NIPA Chowrangi
Gulshan Chowrangi
Moti Mahal
Lucky One Mall
Sohrab Goth
Shafiq Mor
Godhra"
"Shiraz","https://mnzil.app/./vehicles/Shiraz","https://mnzil.app/_next/image?url=%2Fbus-black.png&w=384&q=75","Bus","31","Check Post 6 Malir Cantt","Hawksbay Beach","Check Post 6 Malir Cantt
Safoora Chowrangi
Mosamiyat
Karachi Univerity - Siver Jubilee Gate
NED University
University Road
NIPA Chowrangi
Karachi Safari Park
Sir Syed University (Rashid Minhas Rd.)
Federal Urdu University - University Rd
Expo Center
Civic Center
Old Sabzi Mandi
Hassan Square
New Town
Jail Chowrangi
Guru Mandir
Numaish Chowrangi
Urdu Bazar
Jama Cloth Market
Civil Hospital
Light House
City Court
Bolton Market
Tower
IC Bridge
Agra Taj Colony
Gulbai
Pakistan Marine Academy Maripur
Maripur Cycle Chowrangi
Hawksbay Beach"
"SL","https://mnzil.app/./vehicles/SL","https://mnzil.app/_next/image?url=%2Fbus-black.png&w=384&q=75","Bus","27","Saddar","89 Landhi Rd",""
"Super Hassan Zai","https://mnzil.app/./vehicles/Super-Hassan-Zai","https://mnzil.app/_next/image?url=%2Fbus-black.png&w=384&q=75","Bus","29","New Sabzi Mandi","Shireen Jinnah Colony","New Sabzi Mandi
Maymar Mor
Jamali Flyover
Al Asif Square
Sohrab Goth
Lucky One Mall
Gulshan Chowrangi
NIPA Chowrangi
Old Sabzi Mandi
Hassan Square
Expo Center
New Town
Jail Chowrangi
Tariq Road
Allah Wali Chowrangi - Tariq Road
Nursery
Gora Qabaristan
Regent Plaza
Jinnah Hospital
Cantt station
Askari 3
Do Talwar
Clifton
Dolmen Mall - Clifton
Abdullah Shah Ghazi
South City Hospital - Clifton
Bilawal Chowrangi
Ziauddin University - Clifton
Shireen Jinnah Colony"
"Super Muslim Coach","https://mnzil.app/./vehicles/super-muslim-coach","https://mnzil.app/_next/image?url=%2Fbus-black.png&w=384&q=75","Bus","17","Port Qasim Mor","Shireen Jinnah Colony","Port Qasim Mor
Bhains Colony Mor
Manzil Pump
Qaddafi Town
Yunus Chowrangi
Dawood Chowrangi
Mansehra Colony
Bilal Chowrangi
Godam Chowrangi
Qayyumabad
Akhtar Colony
Khayaban-e-Ittehad
Khayaban-e-Shahbaz
Badar Commercial 26 Street
Abdullah Shah Ghazi
Clifton
Shireen Jinnah Colony"
"W-11","https://mnzil.app/./vehicles/W-11","https://mnzil.app/_next/image?url=%2Fbus-black.png&w=384&q=75","Bus","25","Ahsanabad","Keamari","Ahsanabad
Allah waali - New Karachi
Sindhi Hotel - New Karachi
Nala Stop - New Karachi
Godhra
Shafiq Mor
Sohrab Goth
Ancholi
Water Pump
Ayesha Manzil
Karimabad - Meena Bazaar
Liaquatabad No.10 - Lalukhet
Jehangir Rd
Guru Mandir
Numaish Chowrangi
Seventh-day Adventist Hospital
Urdu Bazar
Jama Cloth Market
Light House
City Court
Bolton Market
Tower
Netty Jetty Bridge
Jackson Market
Keamari"
"W-18","https://mnzil.app/./vehicles/W-18","https://mnzil.app/_next/image?url=%2Fbus-black.png&w=384&q=75","Bus","29","Baba Mor","Rehri Goth Landhi","UP Mor
Nagan Chowrangi"
"W-22","https://mnzil.app/./vehicles/W-22","https://mnzil.app/_next/image?url=%2Fbus-black.png&w=384&q=75","Bus","33","Rehmania Mor","Korangi 2 ½",""
"W-25","https://mnzil.app/./vehicles/W-25","https://mnzil.app/_next/image?url=%2Fbus-black.png&w=384&q=75","Bus","20","Sindhi Hotel - New Karachi","Khyber Chowk - Ittihad Town","UP Mor
Nagan Chowrangi
Erum Shopping
Sakhi Hasan Chowrangi
Jummah Bazar (Bhayani Shopping Center)
Five Star Chowrangi
Hyderi Market"
"W-55","https://mnzil.app/./vehicles/W-55","https://mnzil.app/_next/image?url=%2Fbus-black.png&w=384&q=75","Bus","26","Khairabad - Gulshan-e-Zia","Lyari Basti - Taiser Town","Board Office Chowrangi
Hyderi Market
Jummah Bazar (Bhayani Shopping Center)
Sakhi Hasan Chowrangi
Erum Shopping
Nagan Chowrangi
UP Mor
Road 4200 - Saleem Centre
Power House Chowrangi
2 Minute Chowrangi
4K Chowrangi
Karimi Chowrangi
KDA Flats- Surjani"
"X-10","https://mnzil.app/./vehicles/X-10","https://mnzil.app/_next/image?url=%2Fbus-black.png&w=384&q=75","Bus","34","Ittehad Town","Khayaban-e-Ghalib - DHA Phase 8","Ittehad Town
Baldia 9
Baldia 8
Bismillah Chowk
Jungle School (Baldia)
Rubi Mor
Police Training Center Saeedabad
Mach Mor
Baldia 4
Baldia 3
Baldia 2
Shershah
Ghani Chowrangi
Haroonabad
Habib Bank Chowrangi
Nazimabad No. 1
Nazimabad Petrol Pump
Liaquatabad No.10 - Lalukhet
Teen Hatti
Guru Mandir
peoples secretariat
Lines Area
Saddar
Lucky Star - Saddar
Cantt station
Askari 3
Dehli Colony
Punjab Chowrangi
P&T Colony
Gizri
Khayaban-e-Ittehad
Misri Shah
DHA phase 6
Khayaban-e-Ghalib - DHA Phase 8"
"X-23","https://mnzil.app/./vehicles/X-23","https://mnzil.app/_next/image?url=%2Fbus-black.png&w=384&q=75","Bus","24","Fareed Colony - Orangi Town","Bilal Colony - Landhi Town","Nazimabad No. 1"
"X-8","https://mnzil.app/./vehicles/X-8","https://mnzil.app/_next/image?url=%2Fbus-black.png&w=384&q=75","Bus","41","Ittehad Town","Rohri Goth - Landhi Town",""
"Z-2","https://mnzil.app/./vehicles/Z-2","https://mnzil.app/_next/image?url=%2Fbus-black.png&w=384&q=75","Bus","14","Gulshan Ghazi","Khayaban-e-Shaheed","Gulshan Ghazi
Fareed Colony - Orangi Town
Orangi No 10
Orangi 5
Banaras Bus Stop
Habib Bank Chowrangi
Bara Board
Garden
Maki Masjid - Saddar
Saddar
Hotel Mehran - Shahrah-e-Faisal Rd
Cantt station
Punjab Chowrangi
Khayaban-e-Shaheed"
"007","https://mnzil.app/./vehicles/007","https://mnzil.app/_next/image?url=%2Fchinchi.png&w=384&q=75","Chinchi","15","Shrine of Manghopir","Daak Khana - Liaquatabad","Sakhi Hasan Chowrangi
Five Star Chowrangi
Hyderi Market"
"2-J","https://mnzil.app/./vehicles/2-J","https://mnzil.app/_next/image?url=%2Fchinchi.png&w=384&q=75","Chinchi","27","Saddar","Al hameed","Board Office Chowrangi
Five Star Chowrangi
Hyderi Market
Jummah Bazar (Bhayani Shopping Center)
Nagan Chowrangi
Road 2400 - Aisha Complex
Road 4200 - Saleem Centre
Power House Chowrangi
Sakhi Hasan Chowrangi
UP Mor
2 Minute Chowrangi
Erum Shopping"
"4-E","https://mnzil.app/./vehicles/4-E","https://mnzil.app/_next/image?url=%2Fchinchi.png&w=384&q=75","Chinchi","23","Abdullah Chowk","Numaish Chowrangi","Abdullah Chowk
KDA Flats- Surjani
Karimi Chowrangi
4K Chowrangi
2 Minute Chowrangi
Road 2400 - Aisha Complex
Power House Chowrangi
Road 4200 - Saleem Centre
UP Mor
Nagan Chowrangi
Erum Shopping
Sakhi Hasan Chowrangi
Jummah Bazar (Bhayani Shopping Center)
Five Star Chowrangi
Hyderi Market
Board Office Chowrangi
Annu Bhai Park
Enquiry Office
Nazimabad No. 1
Sanitary Market (Gulbahar)
Lasbela
Patel Para (Guru Mandir)
Numaish Chowrangi"
"4-X","https://mnzil.app/./vehicles/4-X","https://mnzil.app/_next/image?url=%2Fchinchi.png&w=384&q=75","Chinchi","27","Surjani - Sector 7A","Guru Mandir","KDA Flats- Surjani
Karimi Chowrangi
4K Chowrangi
UP Mor
Nagan Chowrangi
Erum Shopping
Sakhi Hasan Chowrangi
Jummah Bazar (Bhayani Shopping Center)
Five Star Chowrangi
Hyderi Market
Board Office Chowrangi
Lasbela
Patel Para (Guru Mandir)"
"555","https://mnzil.app/./vehicles/555","https://mnzil.app/_next/image?url=%2Fchinchi.png&w=384&q=75","Chinchi","20","Sindhi Hotel - New Karachi","Guru Mandir","UP Mor
Nagan Chowrangi
Erum Shopping
Sakhi Hasan Chowrangi
Jummah Bazar (Bhayani Shopping Center)
Hyderi Market
Board Office Chowrangi
Lasbela
Patel Para (Guru Mandir)"
"786","https://mnzil.app/./vehicles/786","https://mnzil.app/_next/image?url=%2Fchinchi.png&w=384&q=75","Chinchi","19","Lyari Basti - Taiser Town","NIPA Chowrangi","KDA Flats- Surjani
4K Chowrangi
2 Minute Chowrangi
Power House Chowrangi
Road 4200 - Saleem Centre
UP Mor
Nagan Chowrangi"
"7-D","https://mnzil.app/./vehicles/7-D","https://mnzil.app/_next/image?url=%2Fchinchi.png&w=384&q=75","Chinchi","11","North Karachi 7-D - Iqra University","Lucky One Mall",""
"8","https://mnzil.app/./vehicles/8-Chinchi","https://mnzil.app/_next/image?url=%2Fchinchi.png&w=384&q=75","Chinchi","14","Pahar Ganj","Ahsanabad","Pahar Ganj
Justice Asghar Ali Shah Cricket Stadium
KDA Chowrangi
Ziauddin Hospital - North Nazimabad
Moosa Colony - Gulberg Town
Karimabad - Meena Bazaar
Ayesha Manzil
Naseerabad - Gulberg Town
Water Pump
Ancholi
Sohrab Goth
Al Asif Square
Jamali Flyover
Ahsanabad"
"A","https://mnzil.app/./vehicles/A","https://mnzil.app/_next/image?url=%2Fchinchi.png&w=384&q=75","Chinchi","3","Saddar","NIPA Chowrangi","Saddar
Mobile Market Saddar
NIPA Chowrangi"
"A-1","https://mnzil.app/./vehicles/A-1","https://mnzil.app/_next/image?url=%2Fchinchi.png&w=384&q=75","Chinchi","4","Disco Bakers and Sweets","Gulshan Chowrangi","Disco Bakers and Sweets
Maskan Chowrangi
NIPA Chowrangi
Gulshan Chowrangi"
"A-18","https://mnzil.app/./vehicles/A-18","https://mnzil.app/_next/image?url=%2Fchinchi.png&w=384&q=75","Chinchi","19","Chungi Ghazi","Millennium Mall","UP Mor
Nagan Chowrangi"
"AA1","https://mnzil.app/./vehicles/AA1-Chinchi","https://mnzil.app/_next/image?url=%2Fchinchi.png&w=384&q=75","Chinchi","15","Korangi 5","Liaquatabad No.10 - Lalukhet","Korangi 5
Korangi 4
Korangi 3
Korangi 2 ½
Korangi 1
Nasir Jump
Indus Hospital - Korangi
Korangi Crossing Road
Qayyumabad
Manzoor Colony
Baloch Colony Stop
Tariq Road
Jail Chowrangi
Essa Nagri
Liaquatabad No.10 - Lalukhet"
"AS-1","https://mnzil.app/./vehicles/AS-1","https://mnzil.app/_next/image?url=%2Fchinchi.png&w=384&q=75","Chinchi","8","Korangi 6","4K Chowrangi","4K Chowrangi
Nagan Chowrangi
UP Mor"
"B-1","https://mnzil.app/./vehicles/B-1-Chinchi","https://mnzil.app/_next/image?url=%2Fchinchi.png&w=384&q=75","Chinchi","11","Daak Khana - Liaquatabad","Allah bux village - Ahsanabad","Daak Khana - Liaquatabad
Liaquatabad No.10 - Lalukhet
Karimabad - Meena Bazaar
Ayesha Manzil
Naseerabad - Gulberg Town
Water Pump
Ancholi
Sohrab Goth
Al Asif Square
Jamali Flyover
Allah bux village - Ahsanabad"
"B-3","https://mnzil.app/./vehicles/B-3","https://mnzil.app/_next/image?url=%2Fchinchi.png&w=384&q=75","Chinchi","8","Numaish Chowrangi","Safoora Chowrangi","Numaish Chowrangi"
"B-9","https://mnzil.app/./vehicles/B-9-Chinchi","https://mnzil.app/_next/image?url=%2Fchinchi.png&w=384&q=75","Chinchi","9","Korangi 6","Korangi Crossing Road","Korangi 6
Korangi 5
Korangi 4
Korangi 3
Korangi 2 ½
Korangi 1
Nasir Jump
Indus Hospital - Korangi
Korangi Crossing Road"
"D-13","https://mnzil.app/./vehicles/D-13","https://mnzil.app/_next/image?url=%2Fchinchi.png&w=384&q=75","Chinchi","12","Jungle School (Baldia)","Banaras Bus Stop","Jungle School (Baldia)
Bismillah Chowk
Baldia 19-D
Mohajir Camp No. 7
Rasheedabad
Labor Square - Metroville SITE
GCT College Mor
SITE Police Station - A
Habib Chowrangi - Metroville
Valika
METRO Manghopir Store
Banaras Bus Stop"
"D-22","https://mnzil.app/./vehicles/D-22","https://mnzil.app/_next/image?url=%2Fchinchi.png&w=384&q=75","Chinchi","23","Lyari 50","Teen Hatti","KDA Flats- Surjani
4K Chowrangi
2 Minute Chowrangi
Power House Chowrangi
Road 4200 - Saleem Centre
UP Mor
Nagan Chowrangi
Sakhi Hasan Chowrangi
Jummah Bazar (Bhayani Shopping Center)
Five Star Chowrangi
Hyderi Market"
"D-3","https://mnzil.app/./vehicles/D-3-Chinchi","https://mnzil.app/_next/image?url=%2Fchinchi.png&w=384&q=75","Chinchi","14","Guru Mandir","Munawar Chowrangi - Gulistan-e-Johar","Guru Mandir
Jehangir Road
Teen Hatti
Daak Khana - Liaquatabad
Liaquatabad No.10 - Lalukhet
Ayesha Manzil
Naseerabad - Gulberg Town
Water Pump
Sohrab Goth
Al Asif Square
Jamali Flyover
Maymar Mor
Ahsanabad
Munawar Chowrangi - Gulistan-e-Johar"
"Double Jhanda","https://mnzil.app/./vehicles/Double-Jhanda-","https://mnzil.app/_next/image?url=%2Fchinchi.png&w=384&q=75","Chinchi","7","Kharadar","Teen Hatti","Lasbela"
"F-12","https://mnzil.app/./vehicles/F-12","https://mnzil.app/_next/image?url=%2Fchinchi.png&w=384&q=75","Chinchi","11","Allah waali - New Karachi","Teen Hatti","Allah waali - New Karachi
Sindhi Hotel - New Karachi
Nala Stop - New Karachi
Godhra
Shafiq Mor
Sohrab Goth
Water Pump
Ayesha Manzil
Karimabad - Meena Bazaar
Liaquatabad No.10 - Lalukhet
Teen Hatti"
"FM","https://mnzil.app/./vehicles/FM","https://mnzil.app/_next/image?url=%2Fchinchi.png&w=384&q=75","Chinchi","29","Abdullah Mor - Surjani","Malir 15","KDA Flats- Surjani
4K Chowrangi
2 Minute Chowrangi
Road 2400 - Aisha Complex
Power House Chowrangi
Road 4200 - Saleem Centre
UP Mor
Nagan Chowrangi"
"FS-1","https://mnzil.app/./vehicles/FS-1","https://mnzil.app/_next/image?url=%2Fchinchi.png&w=384&q=75","Chinchi","17","L Block Rd - Aziz Nagar","Anarkali Sector 6 - Surjani Town","Board Office Chowrangi
Hyderi Market
Sakhi Hasan Chowrangi
Nagan Chowrangi
UP Mor
Road 4200 - Saleem Centre
Power House Chowrangi
2 Minute Chowrangi
4K Chowrangi"
"G-2","https://mnzil.app/./vehicles/G-2","https://mnzil.app/_next/image?url=%2Fchinchi.png&w=384&q=75","Chinchi","12","Daak Khana - Liaquatabad","New Sabzi Mandi",""
"G-25","https://mnzil.app/./vehicles/G-25","https://mnzil.app/_next/image?url=%2Fchinchi.png&w=384&q=75","Chinchi","7","Five Star Chowrangi","Gulshan Chowrangi","Five Star Chowrangi"
"G-7 Chinchi","https://mnzil.app/./vehicles/g7-chinchi","https://mnzil.app/_next/image?url=%2Fchinchi.png&w=384&q=75","Chinchi","22","Baba Mor","Bismillah Chowk","UP Mor
Nagan Chowrangi
Sakhi Hasan Chowrangi
Jummah Bazar (Bhayani Shopping Center)
Five Star Chowrangi
Hyderi Market
Board Office Chowrangi"
"GM","https://mnzil.app/./vehicles/GM-Chinchi","https://mnzil.app/_next/image?url=%2Fchinchi.png&w=384&q=75","Chinchi","21","Malir 15","Baba Mor","Nagan Chowrangi
UP Mor"
"J-1","https://mnzil.app/./vehicles/J-1","https://mnzil.app/_next/image?url=%2Fchinchi.png&w=384&q=75","Chinchi","16","Gulshan Ghazi","IC Bridge","Gulshan Ghazi
Faqir Colony
Baldia 8
Bismillah Chowk
Jungle School (Baldia)
Rubi Mor
Police Training Center Saeedabad
Mach Mor
Baldia 4
Baldia 3
Baldia 2
Shershah
Meezan Head Office
Gulbai
Agra Taj Colony
IC Bridge"
"JF17","https://mnzil.app/./vehicles/JF17-Chinchi","https://mnzil.app/_next/image?url=%2Fchinchi.png&w=384&q=75","Chinchi","15","Korangi 5","Liaquatabad No.10 - Lalukhet","Korangi 5
Korangi 4
Korangi 3
Korangi 2 ½
Korangi 1
Nasir Jump
Indus Hospital - Korangi
Korangi Crossing Road
Qayyumabad
Manzoor Colony
Baloch Colony Stop
Tariq Road
Jail Chowrangi
Essa Nagri
Liaquatabad No.10 - Lalukhet"
"K-18","https://mnzil.app/./vehicles/K-18","https://mnzil.app/_next/image?url=%2Fchinchi.png&w=384&q=75","Chinchi","19","Chungi Ghazi","Millennium Mall","UP Mor
Nagan Chowrangi"
"K-4","https://mnzil.app/./vehicles/K-4-Chinchi","https://mnzil.app/_next/image?url=%2Fchinchi.png&w=384&q=75","Chinchi","9","Korangi Crossing Road","Korangi 6","Korangi Crossing Road
Indus Hospital - Korangi
Nasir Jump
Korangi 1
Korangi 2 ½
Korangi 3
Korangi 4
Korangi 5
Korangi 6"
"K-5","https://mnzil.app/./vehicles/K-5","https://mnzil.app/_next/image?url=%2Fchinchi.png&w=384&q=75","Chinchi","24","Makkah Hotel - Sec 5A1 North Karachi","Patel Para (Guru Mandir)","4K Chowrangi
2 Minute Chowrangi
Road 2400 - Aisha Complex
Power House Chowrangi
Road 4200 - Saleem Centre
UP Mor
Nagan Chowrangi
Erum Shopping
Sakhi Hasan Chowrangi
Jummah Bazar (Bhayani Shopping Center)
Five Star Chowrangi
Hyderi Market
Board Office Chowrangi
Annu Bhai Park
Enquiry Office
Nazimabad No. 1
Sanitary Market (Gulbahar)
Lasbela
Patel Para (Guru Mandir)"
"K6","https://mnzil.app/./vehicles/K6-Chinchi","https://mnzil.app/_next/image?url=%2Fchinchi.png&w=384&q=75","Chinchi","9","Korangi Crossing Road","Korangi 6","Korangi Crossing Road
Indus Hospital - Korangi
Nasir Jump
Korangi 1
Korangi 2 ½
Korangi 3
Korangi 4
Korangi 5
Korangi 6"
"K-86","https://mnzil.app/./vehicles/K-86","https://mnzil.app/_next/image?url=%2Fchinchi.png&w=384&q=75","Chinchi","26","Lyari 50","Guru Mandir","KDA Flats- Surjani
Karimi Chowrangi
4K Chowrangi
2 Minute Chowrangi
Power House Chowrangi
Road 4200 - Saleem Centre
UP Mor
Nagan Chowrangi
Sakhi Hasan Chowrangi"
"Karachi King","https://mnzil.app/./vehicles/Karachi-King-Chinchi","https://mnzil.app/_next/image?url=%2Fchinchi.png&w=384&q=75","Chinchi","15","Korangi 5","Liaquatabad No.10 - Lalukhet","Korangi 5
Korangi 4
Korangi 3
Korangi 2 ½
Korangi 1
Nasir Jump
Indus Hospital - Korangi
Korangi Crossing Road
Qayyumabad
Manzoor Colony
Baloch Colony Stop
Tariq Road
Jail Chowrangi
Essa Nagri
Liaquatabad No.10 - Lalukhet"
"M-1","https://mnzil.app/./vehicles/M-1","https://mnzil.app/_next/image?url=%2Fchinchi.png&w=384&q=75","Chinchi","13","Jamali Flyover","Guru Mandir","Jamali Flyover
Sachal Mor - Sachal Goth
Punjab Adda - Bus Stand
Al Asif Square
Sohrab Goth
Water Pump
Ayesha Manzil
Karimabad - Meena Bazaar
Liaquatabad No.10 - Lalukhet
Daak Khana - Liaquatabad
Teen Hatti
Jehangir Road
Guru Mandir"
"M-10","https://mnzil.app/./vehicles/M-10","https://mnzil.app/_next/image?url=%2Fchinchi.png&w=384&q=75","Chinchi","7","Lyari Basti - Taiser Town","NIPA Chowrangi",""
"M-22","https://mnzil.app/./vehicles/M-22","https://mnzil.app/_next/image?url=%2Fchinchi.png&w=384&q=75","Chinchi","15","Korangi 5","Liaquatabad No.10 - Lalukhet","Korangi 5
Korangi 4
Korangi 3
Korangi 2 ½
Korangi 1
Nasir Jump
Indus Hospital - Korangi
Korangi Crossing Road
Qayyumabad
Manzoor Colony
Baloch Colony Stop
Tariq Road
Jail Chowrangi
Essa Nagri
Liaquatabad No.10 - Lalukhet"
"M-5","https://mnzil.app/./vehicles/M-5","https://mnzil.app/_next/image?url=%2Fchinchi.png&w=384&q=75","Chinchi","1","Expo Center","Expo Center","Expo Center"
"M-55","https://mnzil.app/./vehicles/M-55","https://mnzil.app/_next/image?url=%2Fchinchi.png&w=384&q=75","Chinchi","27","Lyari Basti - Taiser Town","Saddar","KDA Flats- Surjani
4K Chowrangi
2 Minute Chowrangi
Road 2400 - Aisha Complex
Power House Chowrangi
Road 4200 - Saleem Centre
UP Mor
Nagan Chowrangi
Erum Shopping
Sakhi Hasan Chowrangi
Jummah Bazar (Bhayani Shopping Center)
Five Star Chowrangi
Hyderi Market
Board Office Chowrangi
Lasbela"
"M-7","https://mnzil.app/./vehicles/M-7","https://mnzil.app/_next/image?url=%2Fchinchi.png&w=384&q=75","Chinchi","26","Yaroo Khan Goth - Surjani Town","89 Landhi Rd","Yaroo Khan Goth - Surjani Town
Allah waali - New Karachi
Kala School Bus Stop - New Karachi
Sindhi Hotel - New Karachi
Nala Stop - New Karachi
Godhra
Shafiq Mor
Sohrab Goth
Lucky One Mall
Gulshan Chowrangi
NIPA Chowrangi
Aladin Park
Johar Mor
Millennium Mall
Drigh Road
Chota Gate - Shah Faisal Colony
Shama Shopping Center
Bagh-e-Korangi - Sector 10
Singer Chowrangi
K Area - Sherabad Colony
Korangi 5
Korangi 6
Chiragh Hotel - Sector 36 E Landhi Town
Landhi 4
Babar Market
89 Landhi Rd"
"M-9","https://mnzil.app/./vehicles/M-9","https://mnzil.app/_next/image?url=%2Fchinchi.png&w=384&q=75","Chinchi","13","Qayyumabad","NIPA Chowrangi",""
"MK 081","https://mnzil.app/./vehicles/MK-081","https://mnzil.app/_next/image?url=%2Fchinchi.png&w=384&q=75","Chinchi","0","undefined","undefined",""
"N-1","https://mnzil.app/./vehicles/N-1","https://mnzil.app/_next/image?url=%2Fchinchi.png&w=384&q=75","Chinchi","7","NIPA Chowrangi","Kaneez Fatima Society - Gulzar-e-Hijri",""
"N-1 Baldia","https://mnzil.app/./vehicles/N-1-Baldia","https://mnzil.app/_next/image?url=%2Fchinchi.png&w=384&q=75","Chinchi","9","Jungle School (Baldia)","Shershah",""
"N-55","https://mnzil.app/./vehicles/N-55","https://mnzil.app/_next/image?url=%2Fchinchi.png&w=384&q=75","Chinchi","25","Lyari Basti - Taiser Town","Khairabad - Gulshan-e-Zia","KDA Flats- Surjani
4K Chowrangi
2 Minute Chowrangi
Road 2400 - Aisha Complex
Power House Chowrangi
Road 4200 - Saleem Centre
UP Mor
Nagan Chowrangi
Erum Shopping
Sakhi Hasan Chowrangi
Jummah Bazar (Bhayani Shopping Center)
Five Star Chowrangi"
"N-91","https://mnzil.app/./vehicles/N-91","https://mnzil.app/_next/image?url=%2Fchinchi.png&w=384&q=75","Chinchi","5","NIPA Chowrangi","Johar Chowrangi","NIPA Chowrangi
Aladin Park
Johar Mor
Perfume Chowk Gulistan-e-Johar
Johar Chowrangi"
"Naseeb","https://mnzil.app/./vehicles/Naseeb-Chinchi","https://mnzil.app/_next/image?url=%2Fchinchi.png&w=384&q=75","Chinchi","15","Korangi 5","Liaquatabad No.10 - Lalukhet",""
"ND-1","https://mnzil.app/./vehicles/ND-1-Chinchi","https://mnzil.app/_next/image?url=%2Fchinchi.png&w=384&q=75","Chinchi","18","Umer Goth","Daak Khana - Liaquatabad","UP Mor
Nagan Chowrangi
Erum Shopping"
"P-1","https://mnzil.app/./vehicles/P-1","https://mnzil.app/_next/image?url=%2Fchinchi.png&w=384&q=75","Chinchi","0","","",""
"Razaq","https://mnzil.app/./vehicles/Razaq-Chinchi","https://mnzil.app/_next/image?url=%2Fchinchi.png&w=384&q=75","Chinchi","15","Korangi 5","Liaquatabad No.10 - Lalukhet","Korangi 5
Korangi 4
Korangi 3
Korangi 2 ½
Korangi 1
Nasir Jump
Indus Hospital - Korangi
Korangi Crossing Road
Qayyumabad
Manzoor Colony
Baloch Colony Stop
Tariq Road
Jail Chowrangi
Essa Nagri
Liaquatabad No.10 - Lalukhet"
"R-S","https://mnzil.app/./vehicles/R-S","https://mnzil.app/_next/image?url=%2Fchinchi.png&w=384&q=75","Chinchi","1","Johar Chowrangi","Johar Chowrangi",""
"S-2","https://mnzil.app/./vehicles/S-2","https://mnzil.app/_next/image?url=%2Fchinchi.png&w=384&q=75","Chinchi","10","Daak Khana - Liaquatabad","Alnoor mor","Daak Khana - Liaquatabad
Liaquatabad No.10 - Lalukhet
Karimabad - Meena Bazaar
Moosa Colony - Gulberg Town
Ziauddin Hospital - North Nazimabad
Landi Kotal Chowrangi Roundabout
Peoples Chowrangi
Piyala Hotel - Peoples Colony
Gulberg Chowrangi
Alnoor mor"
"S-7","https://mnzil.app/./vehicles/S-7","https://mnzil.app/_next/image?url=%2Fchinchi.png&w=384&q=75","Chinchi","11","Khawaja Ajmer Nagri","Teen Hatti","Sakhi Hasan Chowrangi"
"S-K","https://mnzil.app/./vehicles/S-K-Chinchi","https://mnzil.app/_next/image?url=%2Fchinchi.png&w=384&q=75","Chinchi","20","Al Asif Square","Ittehad Town","Sakhi Hasan Chowrangi
Jummah Bazar (Bhayani Shopping Center)
Five Star Chowrangi
Hyderi Market
Board Office Chowrangi"
"Sultan","https://mnzil.app/./vehicles/Sultan-Chinchi","https://mnzil.app/_next/image?url=%2Fchinchi.png&w=384&q=75","Chinchi","23","Liaquatabad No.10 - Lalukhet","Korangi 5","Liaquatabad No.10 - Lalukhet
Essa Nagri
Jail Chowrangi
Tariq Road
Baloch Colony Stop
Manzoor Colony
Qayyumabad
Korangi Crossing Road
Indus Hospital - Korangi
Nasir Jump
Korangi 1
Korangi 2 ½
Korangi 3
Korangi 4
Landhi 6
Landhi 5
Landhi 4
Landhi 3
Landhi 2
Landhi 1
89 Landhi Rd
Dawood Chowrangi
Korangi 5"
"T-10","https://mnzil.app/./vehicles/T-10","https://mnzil.app/_next/image?url=%2Fchinchi.png&w=384&q=75","Chinchi","21","Daak Khana - Liaquatabad","Surjani - Sector 7A","Hyderi Market
Five Star Chowrangi
Jummah Bazar (Bhayani Shopping Center)
Sakhi Hasan Chowrangi
Erum Shopping
Nagan Chowrangi
UP Mor
Power House Chowrangi
2 Minute Chowrangi
4K Chowrangi
Karimi Chowrangi
KDA Flats- Surjani"
"T-11","https://mnzil.app/./vehicles/T-11","https://mnzil.app/_next/image?url=%2Fchinchi.png&w=384&q=75","Chinchi","22","Daak Khana - Liaquatabad","Surjani - Sector 7A","Board Office Chowrangi
Five Star Chowrangi
Hyderi Market
Jummah Bazar (Bhayani Shopping Center)
Sakhi Hasan Chowrangi
Erum Shopping
Nagan Chowrangi
UP Mor
Power House Chowrangi
2 Minute Chowrangi
4K Chowrangi
Karimi Chowrangi
KDA Flats- Surjani"
"T-99","https://mnzil.app/./vehicles/T-99-Chinchi","https://mnzil.app/_next/image?url=%2Fchinchi.png&w=384&q=75","Chinchi","23","Mansoor Nagar (Maa Hospital)","Abdullah Mor - Surjani","Board Office Chowrangi
Five Star Chowrangi
Hyderi Market
Sakhi Hasan Chowrangi
Nagan Chowrangi
UP Mor
Road 4200 - Saleem Centre
Power House Chowrangi
2 Minute Chowrangi
4K Chowrangi
KDA Flats- Surjani"
