"Vehicle Name","Vehicle URL","Vehicle Image","Vehicle Type","Total Stops","Starting Point","Ending Point","Station List"
"9-C","https://mnzil.app/./vehicles/9-C","https://mnzil.app/_next/image?url=%2Fbus-black.png&w=384&q=75","Bus","29","Shireen Jinnah Colony","Model Colony Mor","Shireen Jinnah Colony
Ziauddin University - Clifton
Bilawal Chowrangi
Abdullah Shah Ghazi
Badar Commercial 26 Street
DHA phase 6
Saudi Embassy - DHA Phase 5
Gizri
Punjab Chowrangi
Cantt station
Jinnah Hospital
Kala Pul
FTC Building
Gora Qabaristan
Nursery
Lal Kothi Shahrah-e-Faisal
Fine House
Baloch Colony Stop
Awami Markaz
Karsaz
PAF Museum
PAF Base Faisal
Drigh Road
Nata Khan
Shah Faisal Colony Gate
Star Gate - Shah Faisal Colony
Wireless Gate Bus Stop
Malir Halt
Model Colony Mor"
"A-25","https://mnzil.app/./vehicles/A-25","https://mnzil.app/_next/image?url=%2Fbus-black.png&w=384&q=75","Bus","27","Ahsanabad","Yousuf Goth",""
"A-3","https://mnzil.app/./vehicles/A-3","https://mnzil.app/_next/image?url=%2Fbus-black.png&w=384&q=75","Bus","29","Maymar Mor","Dockyard","Maymar Mor
Al Asif Square
Sohrab Goth
Abul Hasan Isphani Road
Paradise Bakery
Gulshan Police Station
Maskan Chowrangi
Disco Bakers and Sweets
Gulshan Chowrangi
NIPA Chowrangi
Federal Urdu University - University Rd
Old Sabzi Mandi
Expo Center
Hassan Square
Essa Nagri
Ghareebabad
Liaquatabad No.10 - Lalukhet
Nazimabad Petrol Pump
Habib Bank Chowrangi
Siemens Chowrangi
Haroonabad
Ghani Chowrangi
Shershah
Meezan Head Office
Gulbai
Agra Taj Colony
IC Bridge
West Wharf road
Dockyard"
"Abdullah","https://mnzil.app/./vehicles/Abdullah","https://mnzil.app/_next/image?url=%2Fbus-black.png&w=384&q=75","Bus","15","Shershah","Manzil Pump","Shershah
Meezan Head Office
Gulbai
Agra Taj Colony
Tower
American Embassy Karachi
Boat Basin
Submarine Chowk
Punjab Chowrangi
Akhtar Colony
Korangi Crossing Road
Defence Mor
Quaidabad
Qayyumabad
Manzil Pump"
"Al Azad","https://mnzil.app/./vehicles/Al-Azad","https://mnzil.app/_next/image?url=%2Fbus-black.png&w=384&q=75","Bus","2","Karachi Marriott Hotel","Safoora Chowrangi","Karachi Marriott Hotel
Safoora Chowrangi"
"Al Khair","https://mnzil.app/./vehicles/Al-Khair-","https://mnzil.app/_next/image?url=%2Fbus-black.png&w=384&q=75","Bus","8","Musharraf Colony - Keamari","Lee Market","Musharraf Colony - Keamari
Naval Colony
Mach Mor
Shershah
Shershah Kabari Market
Pankha Hotel - Shershah
Miran Nakka Lyari
Lee Market"
"Bilal","https://mnzil.app/./vehicles/Bilal","https://mnzil.app/_next/image?url=%2Fbus-black.png&w=384&q=75","Bus","33","Ittehad Town","Dawood Roundabout - Saddar","Nazimabad No. 1"
"D-1","https://mnzil.app/./vehicles/D-1","https://mnzil.app/_next/image?url=%2Fbus-black.png&w=384&q=75","Bus","30","Sindhi Goth","Abidabad","Sindhi Goth
Pipri Goth
Razzaqabad
Bhains Colony Mor
Manzil Pump
Quaidabad
Malir Court
Malir 15
Malir Halt
Star Gate - Shah Faisal Colony
Shah Faisal Colony Gate
Nata Khan
Drigh Road
PAF Base Faisal
Karsaz
Pir Pagara Bus Stop
National Stadium
Mashriq Centre
Hassan Square
Expo Center
Essa Nagri
Ghareebabad
Liaquatabad No.10 - Lalukhet
Nazimabad Petrol Pump
Habib Bank Chowrangi
Valika
Frontier Morr Metroville
Orangi 4
Mominabad - Orangi Town
Abidabad"
"D-11","https://mnzil.app/./vehicles/D-11","https://mnzil.app/_next/image?url=%2Fbus-black.png&w=384&q=75","Bus","52","Ittehad Town","Sharifabad - Korangi","Ittehad Town
Pakora Chowk
Baldia 8
Baldia 9
Bismillah Chowk
Jungle School (Baldia)
Baldia 19-D
Baldia 7 Graveyard
Rasheedabad
GCT College Mor
Ghani Chowrangi
Siemens Chowrangi
Habib Bank Chowrangi
Nazimabad No. 1
Nazimabad Petrol Pump
Liaquatabad No.10 - Lalukhet
Ghareebabad
Baloch Hotel
Essa Nagri
Expo Center
Hassan Square
Civic Center
Mashriq Centre
National Stadium
Pir Pagara Bus Stop
PAF Museum
Baloch Colony Stop
Karsaz
Base Montessori PAF
Drigh Road
Nata Khan
Shah Faisal Colony Gate
Star Gate - Shah Faisal Colony
Chota Gate - Shah Faisal Colony
Wireless Gate Bus Stop
Malir Halt
Kala Board Malir
Malir 15
Malir Court
Quaidabad
Dawood Chowrangi
Future Colony - Landhi Town
Mansehra Colony
Murtaza Chowrangi
Bilal Chowrangi
Vita Chowrangi - Korangi
Shan Chorangi - Korangi
Brookes Chowrangi
Godam Chowrangi
Imtiaz Store - KPT Interchange
Qayyumabad
Sharifabad - Korangi"
"D-17","https://mnzil.app/./vehicles/D-17","https://mnzil.app/_next/image?url=%2Fbus-black.png&w=384&q=75","Bus","1","Quaidabad","Quaidabad","Quaidabad"
"D-3","https://mnzil.app/./vehicles/D-3","https://mnzil.app/_next/image?url=%2Fbus-black.png&w=384&q=75","Bus","13","Nagan Chowrangi","Indus Hospital - Korangi","Nagan Chowrangi
Shafiq Mor
Sohrab Goth
Lucky One Mall
Imtiaz Mega Store - Gulshan
Gulshan Chowrangi
NIPA Chowrangi
Johar Mor
Central Ordnance Depot (COD)
Drigh Road
Shah Faisal Colony Gate
Singer Chowrangi
Indus Hospital - Korangi"
"D-7","https://mnzil.app/./vehicles/D-7","https://mnzil.app/_next/image?url=%2Fbus-black.png&w=384&q=75","Bus","23","New Muzaffarabad Colony Landhi","Khadim Hussain Solangi Goth","New Muzaffarabad Colony Landhi
Dawood Chowrangi
Quaidabad
Malir Court
Malir 15
Kala Board Malir
Malir Halt
Star Gate - Shah Faisal Colony
Shah Faisal Colony Gate
Nata Khan
Drigh Road
Millennium Mall
Johar Mor
Aladin Park
NIPA Chowrangi
Sir Syed University (Rashid Minhas Rd.)
Gulshan Chowrangi
Lucky One Mall
Sohrab Goth
Al Asif Square
Punjab Adda - Bus Stand
Jamali Flyover
Khadim Hussain Solangi Goth"
"Daata","https://mnzil.app/./vehicles/Daata","https://mnzil.app/_next/image?url=%2Fbus-black.png&w=384&q=75","Bus","23","KDA Flats- Surjani","Badar Commercial 26 Street","KDA Flats- Surjani
4K Chowrangi
Godhra
Shafiq Mor
Lucky One Mall
Imtiaz Mega Store - Gulshan
Gulshan Chowrangi
NIPA Chowrangi
New Sabzi Mandi
Hassan Square
Jail Chowrangi
Tariq Road
Nursery
Regent Plaza
Jinnah Hospital
Askari 1
Cantt station
Punjab Chowrangi
Do Talwar
Clifton
Abdullah Shah Ghazi
Dolmen Mall - Clifton
Badar Commercial 26 Street"
"F-11","https://mnzil.app/./vehicles/F-11","https://mnzil.app/_next/image?url=%2Fbus-black.png&w=384&q=75","Bus","40","Pakhtoonabad","Bhains Colony Mor","Sakhi Hasan Chowrangi"
